cod_cor,denumire_ocupatie
817207,aburitor plută
731827,aburitor textile
831204,acar
265201,acompaniator
812216,acoperitor metale
712101,"acoperitor-învelitor țiglă, azbociment, tablă"
731201,"acordor acordeoane, armonici"
731202,"acordor piane, pianine, orgă, țambal"
265901,acrobat
265501,actor
265502,actor mânuitor de păpuși
331404,actuar
212010,actuar (studii superioare)
352101,acustician cinematografic
111101,adjunct al procurorului general
515104,administrator
241231,administrator bancar/ produs leasing
252101,administrator baze de date
213237,administrator bunuri agricole
421112,administrator cont
241215,administrator credite
333103,administrator cumpărări
515303,administrator de condominii
242407,administrator de formare
252301,administrator de rețea de calculatoare
252302,administrator de rețea de telefonie VOIP
252908,administrator de securitate în domeniul TIC
241240,administrator de risc
242218,administrator editură
263111,administrator financiar (patrimoniu) (studii superioare)
431203,administrator financiar (patrimoniu) studii medii
141104,administrator hotel
241219,administrator judiciar
515203,administrator pensiune turistică
515105,administrator piețe și târguri
214238,administrator port
325201,administrator programe naționale boli transmisibile
242208,administrator public
242211,administrator publicații
252201,administrator sistem de securitate bancară
351105,administrator sistem documentar
242111,administrator societate comercială
143115,administrator structuri sportive
751107,afumător carne
213229,agent agricol
431201,agent bursă
241214,agent capital de risc
332401,agent comercial
241235,agent compensare (interbancară)
541907,agent conducător câini de serviciu
242212,agent consular
333101,agent contractări și achiziții (broker mărfuri)
541402,agent control acces
333104,agent cumpărări
515302,agent curățenie clădiri și mijloace de transport
432333,agent curier
332101,agent de asigurare
422106,agent de asistență turistică
242207,agent de dezvoltare
333913,agent de navă
541301,agent de poliție penitenciară
331102,agent de schimb
541401,agent de securitate
315509,agent de securitate aeroportuară
541413,agent de securitate competiții sportive
541412,agent de securitate conducător câini de serviciu patrulare
541403,"agent de securitate incintă (magazin, hotel, întreprindere etc.)"
541406,agent de securitate intervenție
422105,agent de transport internațional
422104,agent de transport turistic intern
422102,agent de turism
422111,agent de turism pentru circuite tematice
422103,agent de turism tour-operator
332203,agent de vânzări
331105,agent de vânzări directe (produse financiar-bancare)
422101,agent de voiaj
516901,"agent dezinfecție, deratizare, dezinsecție"
516904,agent ecolog
333303,agent evidență și plată a ajutorului de șomaj
432342,agent feroviar marfă
421401,agent fiscal
541404,agent gardă de corp
711915,agent hidrotehnic
333401,agent imobiliar (broker imobiliar)
333902,agent literar
333107,agent maritim
331107,agent marketing pensii private
333305,agent ocupare
333302,agent orientare profesională a șomerilor/ agent informare privind cariera
331108,agent pentru servicii de investiții financiare
441201,agent poștal
341101,agent procedural
333901,agent reclamă publicitară
333301,agent repartizare a forței de muncă
325202,agent rețea
315501,agent salvare aeroportuară și instalații de stins incendii
333907,agent servicii client
432334,agent stație metrou
541407,agent transport valori
432301,agent transporturi
422108,agent transporturi externe
422109,agent transporturi interne
333106,agent tranzit
422107,agent turism de afaceri
332403,agent vânzări standarde și produse conexe
324001,agent veterinar
812121,aglomeratorist
611101,agricultor
613003,agricultor în culturi vegetale și crescător de animale
611105,agricultor pentru culturi de câmp ecologice
941101,ajutor bucătar
818205,ajutor fochist
753104,ajutor maistru croitor
731815,ajutor maistru filator
731818,"ajutor maistru țesător, tricoter"
315107,ajutor ofițer mecanic fluvial
513101,ajutor ospătar
132301,ajutor șef brigadă în construcții
817104,albitor pastă hârtie
812134,alimentator-încălzitor de materiale
711920,alpinist utilitar
421301,amanetar
932101,ambalator manual
111102,ambasador
325802,ambulanțier
731101,AMC-ist
251201,analist
351202,analist ajutor
261912,analist armonizare legislativă
241229,analist bancar/ societate de leasing
214131,analist calitate
226927,analist comportamental
241241,analist credite
243301,analist cumpărări/ consultant furnizori
242120,analist de afaceri
251102,analist de afaceri în domeniul TIC
242224,analist de informații
263203,analist de mediu
241305,analist financiar
241309,analist financiar bancar
242222,analist informații de firmă
241211,analist investiții
242233,analist în servicii și politici de sănătate
263204,analist în turism
214132,analist măsurători metrologice
242313,analist ocupațional
242308,analist piața muncii
241220,analist preț de revenire/ costuri
242309,analist recrutare/ integrare salariați
242325,analist resurse umane
243216,analist servicii client
242310,analist sisteme salarizare
214133,analist studiul materialelor
241312,analist tehnic piețe financiare
263205,analist teritorial
351108,analist testare software
335503,anchetator poliție
516908,animator centre de vacanță
511317,animator de hotel
251309,animator digital 2D/3D jocuri video
265259,animator emisiuni cultural-muzicale de radio și televiziune
216602,animator film de animație (studii medii)
265426,animator film de animație (studii superioare)
516907,animator socioeducativ
342301,animator sportiv
522201,anticar
342201,antrenor
612905,antrenor cabaline
342207,antrenor coordonator
342303,antrenor de fitness
342204,antrenor de fotbal profesionist
143101,antrenor federație sportivă
342220,antrenor național
112032,antreprenor în economia socială
516301,antreprenor servicii funerare
612301,apicultor
731401,aplicator de detalii la produse din ceramică
962905,aprod
265245,aranjor muzică
243221,arbitru
342216,arbitru de fotbal
342208,arbitru judecător sportiv
612207,arbitru pentru păsări de rasă
611201,arboricultor
731301,argintar
818111,argintar produse din sticlă
263206,arheolog
263601,arhiepiscop
263602,arhiereu-vicar
216101,arhitect clădiri
216111,arhitect de interior
251104,arhitect de sistem în domeniul TIC
251109,arhitect în domeniul tehnologiei blockchain
214494,arhitect naval
216201,arhitect peisagistică și amenajarea teritoriului
216103,arhitect restaurări
216402,arhitect urbanism
122301,arhitect-șef
441501,arhivar
341108,arhivar notariat
262101,arhivist
263603,arhondar
818143,armator de izolatori electrici (prelucrător produse electrotehnice)
731102,armurier
216609,art director
243101,art director publicitate (studii medii)
754201,artificier de mină
754202,artificier la lucrări de suprafață
265503,artist circ
251310,artist digital 2D jocuri video
251311,artist digital 3D jocuri video
265112,artist/artistă fotograf
265219,artist instrumentist
265202,artist liric
265223,artist liric operă
265111,artist multimedia
265102,artist plastic
263504,art-terapeut
812209,arzător email
818126,arzător produse ceramice
818109,arzător produse din sticlă
812225,asamblator elemente și baterii galvanice
752205,asamblator lăzi
731836,asamblator-montator articole marochinărie
712407,asamblator-montator profile aluminiu și geam termopan
821903,asamblor articole de sport
821901,asamblor biciclete
821902,asamblor jucării
722401,ascuțitor laminate la cald
722402,ascuțitor laminate la rece
722404,"ascuțitor scule, instrumente medicale și obiecte de uz casnic"
722403,ascuțitor-călitor garnituri de carde
711904,asfaltator
241307,asistent analist
413207,asistent analist de informații
333914,asistent atragere fonduri
241310,asistent bancar
243219,asistent comercial
325203,asistent coordonator programe naționale curative și boli netransmisibile
334304,asistent de cabinet
211112,asistent de cercetare de aeronave
263117,asistent de cercetare economist în economia generală
263115,asistent de cercetare economist în economia mediului
263119,asistent de cercetare economist în economie agroalimentară
263125,asistent de cercetare economist în gestiunea economică
263113,asistent de cercetare economist în management
263121,asistent de cercetare economist în marketing
263123,asistent de cercetare economist în relații economice internaționale
213241,asistent de cercetare în agricultură
213250,asistent de cercetare în agromontanologie
263211,asistent de cercetare în antropologie
213151,asistent de cercetare în antropologie biologică
263215,asistent de cercetare în arheologie
216110,asistent de cercetare în arhitectură
216309,asistent de cercetare în arte plastice - design industrial
216313,"asistent de cercetare în arte plastice - sticlă, ceramică, metal"
216311,"asistent de cercetare în arte plastice - textile (tapiserie, contexturi, modă, imprimeuri)"
263511,asistent de cercetare în asistența socială
211109,asistent de cercetare în astronomie
215240,asistent de cercetare în automatică
214474,asistent de cercetare în autovehicule rutiere
226305,"asistent de cercetare în bacteriologie, microbiologie, biochimie, farmacologie"
211309,asistent de cercetare în biochimie tehnologică
213137,asistent de cercetare în biologie
213141,asistent de cercetare în biologie chimie
213257,asistent de cercetare în biotehnologie pentru agricultură
213143,asistent de cercetare în botanică
215237,asistent de cercetare în calculatoare
214303,asistent de cercetare în centrale hidroelectrice în ingineria mediului
215141,asistent de cercetare în centrale nuclearoelectrice
215138,asistent de cercetare în centrale termoelectrice
211307,asistent de cercetare în chimie
211311,asistent de cercetare în chimie fizică
215228,asistent de cercetare în comunicații
214930,asistent de cercetare în confecții din piele și înlocuitori
211115,asistent de cercetare în construcții aerospațiale
214217,"asistent de cercetare în construcții civile, industriale și agricole"
214220,"asistent de cercetare în construcții de căi ferate, drumuri și poduri"
214471,asistent de cercetare în construcții de mașini agricole
214223,asistent de cercetare în construcții hidrotehnice
214227,asistent de cercetare în construcții miniere
214535,asistent de cercetare în controlul calității produselor alimentare
214483,asistent de cercetare în creația tehnică în construcția de mașini
212028,asistent de cercetare în demografie
261916,asistent de cercetare în domeniul științelor juridice
213145,asistent de cercetare în domeniul zoologic
214462,asistent de cercetare în echipamente de proces
214453,asistent de cercetare în echipamente și instalații de bord
213147,asistent de cercetare în ecologie și protecția mediului
226910,asistent de cercetare în educație fizică și sport
215144,asistent de cercetare în electroenergetică
215126,asistent de cercetare în electrofizică
215132,asistent de cercetare în electromecanică
215225,asistent de cercetare în electronică aplicată
215123,asistent de cercetare în electrotehnică
215147,asistent de cercetare în energetică industrială
263217,asistent de cercetare în etnologie
214933,asistent de cercetare în exploatări forestiere
