cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,automation_score_proxy,predicted_score,risk_level
818110,sablator produse din sticlă,sablator produse din sticla,asamblor produse din plastic,83.63636363636363,37,13,24,6,31,40.5,69.77109859780377,high
821216,confecționer circuite imprimate,confectioner circuite imprimate,confectioner placi circuite imprimate,91.17647058823529,48,16,32,18,30,52.1,69.36967007486713,high
814302,operator la mașina de laminat,operator la masina de laminat,operator la masina de alezat,87.71929824561403,47,16,31,23,24,57.4,65.97848775094366,high
818302,operator la mașina de etichetat,operator la masina de etichetat,operator la masina de alezat,84.7457627118644,47,16,31,23,24,57.4,65.97848775094366,high
815207,operator la mașini de urzit,operator la masini de urzit,operator la masina de alezat,83.63636363636363,47,16,31,23,24,57.4,65.97848775094366,high
815415,operator decator,operator decator,operator excavator,88.23529411764706,38,18,20,5,33,32.9,65.66982443207489,high
722202,sculer-matrițer,sculer-matriter,sculer-matriter,100.0,54,22,32,17,37,45.4,62.78336613467338,medium
235101,cercetător în pedagogie,cercetator in pedagogie,cercetator in pedologie,91.30434782608695,54,14,40,29,25,63.9,62.710127361386284,medium
263415,cercetător în psihologie,cercetator in psihologie,cercetator in pedologie,89.36170212765957,54,14,40,29,25,63.9,62.710127361386284,medium
213244,cercetător în pedologie-agrochimie,cercetator in pedologie-agrochimie,cercetator in pedologie,80.7017543859649,54,14,40,29,25,63.9,62.710127361386284,medium
821221,confecționer becuri,confectioner becuri,confectioner arcuri,89.47368421052632,41,16,25,12,29,45.1,61.99811055718139,medium
731723,confecționer mături,confectioner maturi,confectioner arcuri,89.47368421052632,41,16,25,12,29,45.1,61.99811055718139,medium
731821,confecționer prețuri,confectioner preturi,confectioner arcuri,87.17948717948718,41,16,25,12,29,45.1,61.99811055718139,medium
818106,confecționer termosuri,confectioner termosuri,confectioner arcuri,82.92682926829268,41,16,25,12,29,45.1,61.99811055718139,medium
731702,confecționer jucării,confectioner jucarii,confectioner arcuri,82.05128205128204,41,16,25,12,29,45.1,61.99811055718139,medium
753103,confecționer pălării,confectioner palarii,confectioner arcuri,82.05128205128204,41,16,25,12,29,45.1,61.99811055718139,medium
752305,confecționer parchete,confectioner parchete,confectioner arcuri,80.0,41,16,25,12,29,45.1,61.99811055718139,medium
931203,"muncitor necalificat la întreținerea de drumuri, șosele, poduri, baraje","muncitor necalificat la intretinerea de drumuri, sosele, poduri, baraje","muncitor intretinere drumuri, sosele, poduri, baraje",84.5528455284553,33,15,18,4,29,33.3,61.79917213259432,medium
213239,cercetător în agricultură,cercetator in agricultura,lucrator in agricultura,87.5,47,16,31,21,26,55.3,60.82546024970658,medium
932907,lucrător sortator deșeuri reciclabile,lucrator sortator deseuri reciclabile,lucrator sortator deseuri reciclabile,100.0,34,12,22,7,27,42.6,60.66090325865898,medium
265423,mediaplanner,mediaplanner,media planner,96.0,42,14,28,15,27,51.2,60.55486978363757,medium
313905,tehnician asigurarea calității,tehnician asigurarea calitatii,tehnician ingineria calitatii,81.35593220338984,40,17,23,11,29,42.5,59.9491849252997,medium
334303,asistent manager,asistent manager,asistent manager,100.0,41,18,23,11,30,41.5,59.05784020556092,medium
263221,specialist planificare teritorială,specialist planificare teritoriala,proiectant planificare teritoriala,85.29411764705883,38,19,19,20,18,51.3,59.008212157211,medium
265442,producător TV,producator tv,producator vernis,80.0,34,14,20,3,31,33.8,58.42108241788481,medium
311120,tehnician în fizică,tehnician in fizica,tehnician in robotica,80.0,63,29,34,25,38,46.8,58.336186057959644,medium
531102,guvernantă,guvernanta,guvernanta,100.0,36,16,20,4,32,33.3,57.85397276188798,medium
333913,agent de navă,agent de nava,agent de paza,84.61538461538461,36,16,20,4,32,33.3,57.85397276188798,medium
332203,agent de vânzări,agent de vanzari,agent de paza,82.75862068965517,36,16,20,4,32,33.3,57.85397276188798,medium
111108,guvernator,guvernator,guvernanta,80.0,36,16,20,4,32,33.3,57.85397276188798,medium
612104,lucrător calificat în creșterea animalelor,lucrator calificat in cresterea animalelor,lucrator cresterea animalelor,81.69014084507043,51,16,35,7,44,41.2,57.70286660777547,medium
821902,asamblor jucării,asamblor jucarii,asamblor bijuterii,82.35294117647058,42,12,30,10,32,47.6,57.0743054007826,medium
311540,tehnician mecatronist,tehnician mecatronist,tehnician mecatronist,100.0,63,28,35,24,39,46.8,56.634513603374614,medium
311709,tehnician proiectant metalurg,tehnician proiectant metalurg,tehnician proiectant machete,84.21052631578947,38,16,22,6,32,36.8,56.549668009383204,medium
311708,tehnician proiectant minier,tehnician proiectant minier,tehnician proiectant machete,83.63636363636363,38,16,22,6,32,36.8,56.549668009383204,medium
313903,tehnician în industria celulozei și hârtiei,tehnician in industria celulozei si hartiei,tehnician in industria celulozei si hartiei,100.0,32,14,18,5,27,35.9,56.438359284675066,medium
311915,tehnician în industria pielăriei,tehnician in industria pielariei,tehnician in industria celulozei si hartiei,80.0,32,14,18,5,27,35.9,56.438359284675066,medium
814209,operator mase plastice,operator mase plastice,operator presare mase plastice,84.61538461538461,40,20,20,7,33,33.8,56.20191748823574,medium
814203,operator la prelucrarea maselor plastice,operator la prelucrarea maselor plastice,operator presare mase plastice,82.85714285714286,40,20,20,7,33,33.8,56.20191748823574,medium
352126,operator sunet,operator sunet,operator soneta,89.65517241379311,31,15,16,3,28,30.6,56.078677449055675,medium
516502,instructor auto,instructor auto,instructor auto,100.0,62,22,40,24,38,51.6,55.90467817213797,medium
341601,instructor școlar auto,instructor scolar auto,instructor auto,81.08108108108108,62,22,40,24,38,51.6,55.90467817213797,medium
516501,instructor școlar auto,instructor scolar auto,instructor auto,81.08108108108108,62,22,40,24,38,51.6,55.90467817213797,medium
311217,tehnician atașamentist,tehnician atasamentist,tehnician botanist,80.0,45,19,26,19,26,50.0,55.80264322114403,medium
315509,agent de securitate aeroportuară,agent de securitate aeroportuara,agent securitate aeroportuara,95.08196721311475,39,16,23,4,35,34.6,55.708580934597784,medium
932101,ambalator manual,ambalator manual,ambalator manual,100.0,23,10,13,2,21,32.6,55.54194898229688,medium
931204,săpător manual,sapator manual,ambalator manual,80.0,23,10,13,2,21,32.6,55.54194898229688,medium
311519,tehnician mecanic,tehnician mecanic,tehnician mecanic auto,87.17948717948718,79,20,59,26,53,53.8,55.4908975375239,medium
817104,albitor pastă hârtie,albitor pasta hartie,operator pasta hartie,82.92682926829268,32,13,19,4,28,35.9,55.42257629813572,medium
332202,reprezentant comercial,reprezentant comercial,reprezentant comercial,100.0,76,32,44,34,42,51.3,54.61303101046628,medium
343405,inspector calitate producție culinară,inspector calitate productie culinara,inspector calitate produs final,82.35294117647058,47,14,33,16,31,52.1,54.47157067629677,medium
713101,tapetar,tapetar,tapetar,100.0,35,13,22,3,32,35.7,54.43436355429893,medium
811101,miner în subteran,miner in subteran,miner in subteran,100.0,14,9,5,5,9,35.7,54.402527299643275,medium
811102,miner la suprafață,miner la suprafata,miner la suprafata,100.0,14,9,5,5,9,35.7,54.402527299643275,medium
933303,manipulant mărfuri,manipulant marfuri,manipulant marfuri,100.0,40,22,18,6,34,30.0,54.34835540871683,medium
815212,operator răsucitor fire,operator rasucitor fire,operator rasucitor fire,100.0,30,12,18,4,26,36.7,54.17624220581607,medium
815211,operator batirator fire,operator batirator fire,operator rasucitor fire,82.6086956521739,30,12,18,4,26,36.7,54.17624220581607,medium
