conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,soluționează probleme tehnice,released,skill/competence,cross-sector,,Identifică problemele tehnice ivite în timpul operării dispozitivelor și utilizării mediilor digitale și rezolvarea acestora (de la depanare la rezolvarea unor probleme mai complexe).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,soluționarea problemelor cu instrumente și hardware TIC | identifică probleme | soluționează probleme informatice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,utilizează servicii electronice,released,skill/competence,cross-sector,se implică în socieate prin intermediul tehnologiilor digitale | folosește servicii electronice | capabil să utilizeze serviciile electronice | folosește soluții de plată online,Participă în cadrul societății utilizând serviciile digitale publice și private. Caută oportunități de auto-responsabilizare și de cetățenie participativă prin intermediul tehnologiilor digitale adecvate.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicare și colaborare digitală | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,utilizare creativă a tehnologiilor digitale,released,skill/competence,cross-sector,,"Utilizează instrumente și tehnologii digitale pentru dezvoltarea de cunoștințe și pentru inovarea proceselor și produselor. Se implică, în mod individual și colectiv, în prelucrarea cognitivă pentru a înțelege și soluționa problemele conceptuale și situațiile problematice din mediul digital.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,soluționarea problemelor cu instrumente și hardware TIC | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"evaluează date, informații și conținut digital",released,skill/competence,cross-sector,"interpretează date, informații și conținut digital | analizează date, informații și conținut digital","Analizează, compară și evaluează critic credibilitatea și fiabilitatea surselor de date, a informațiilor și conținutului digital. Analizează, interpretează și evaluează critic datele, informațiile și conținutul digital.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,procesarea datelor digitale | analizează și evaluează informații și date
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programare pe calculator,released,knowledge,cross-sector,,"Tehnicile și principiile dezvoltării de software, cum ar fi analiza, algoritmii, codificarea, testarea și compilarea paradigmelor de programare (de exemplu, programarea orientată spre obiect, programarea funcțională) și a limbajelor de programare.",http://data.europa.eu/esco/isced-f/0613,analiza și dezvoltarea de aplicații și software
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identifică deficite de competență digitală,released,skill/competence,cross-sector,,Înțelege domeniile în care competențele digitale proprii trebuie îmbunătățite sau actualizate. Este în măsură să îi sprijine pe alții în ceea ce privește dezvoltarea competențelor lor digitale. Caută oportunități de dezvoltare personală și ține pasul cu evoluția digitală.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"soluționarea problemelor cu instrumente și hardware TIC | monitorizează, inspectează și testează"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,colaborează cu ajutorul tehnologiilor digitale,released,skill/competence,cross-sector,,"Utilizează instrumente și tehnologii digitale pentru procese de cooperare, precum și pentru construirea în comun și crearea în comun a resurselor și a cunoștințelor.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicare și colaborare digitală | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,protejează datele cu caracter personal și confidențialitatea,released,skill/competence,cross-sector,asigură protecția datelor cu caracter personal și a confidențialității,"Protejează datele cu caracter personal și confidențialitatea în mediile digitale. Înțelege modul de utilizare și de partajare a informațiilor care pot fi identificate personal, având capacitatea, în același timp, să-și protejeze propria persoană și alte persoane împotriva daunelor. Înțelege că serviciile digitale utilizează o „Politică de confidențialitate” pentru a anunța modul în care se folosesc datele cu caracter personal.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,siguranță TIC | protejează viața privată și datele cu caracter personal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,partajează conținut prin intermediul tehnologiilor digitale,released,skill/competence,cross-sector,"face schimb de date, informații și conținut digital prin intermediul tehnologiilor digitale","Face schimb de date, informații și conținut digital cu alte persoane prin tehnologii digitale adecvate. Acționează în calitate de intermediar, cunoaște practicile de corelare și de atribuire.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicare și colaborare digitală | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,siguranță TIC,released,,,securitatea tehnologiei informațiilor și comunicațiilor | securitate TIC,"Protecția personală, protecția datelor, protecția identității digitale, măsuri de securitate, utilizarea sigură și durabilă.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,asigură protecția dispozitivelor tic
