conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Tehnicile și principiile dezvoltării de software, cum ar fi analiza, algoritmii, codificarea, testarea și compilarea de paradigme de programare în Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programare pe calculator | analiza și dezvoltarea de aplicații și software
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,model incremental de dezvoltare,released,knowledge,sector-specific,dezvoltare incrementală,Modelul incremental de dezvoltare este o metodologie de proiectare a sistemelor și aplicațiilor de software.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,metodologii de management de proiect în TIC | analiza și dezvoltarea de aplicații și software
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Programul pentru calculator KDevelop constituie o serie de instrumente de dezvoltare de software pentru scrierea de programe, cum ar fi compilatorul, depanatorul, editorul de coduri, evidențiatorul de coduri, adunate într-un pachet cu o interfață unică pentru utilizatori. Acesta este dezvoltat de comunitatea de software KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,software pentru mediu integrat de dezvoltare | proiectarea și administrarea de baze de date și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (sisteme de gestionare a învățării),released,knowledge,sector-specific,,"Sistemul de învățare Absorb este o platformă de învățare electronică pentru crearea, administrarea și predarea de cursuri de învățare sau de programe de formare pentru elevi de liceu.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,sisteme de gestionare a învățării | proiectarea și administrarea de baze de date și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,dezvoltă arhitecturi inovatoare blockchain,released,skill/competence,cross-sector,construiește arhitecturi blockchain inovatoare,"Dezvoltă noi arhitecturi blockchain, care abordează proprietățile și prioritățile conform necesităților aplicațiilor specifice. Prezintă avantajele și neajunsurile unor astfel de arhitecturi noi față de cele existente.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,proiectează sisteme sau aplicații tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,inginerie de rețea,released,knowledge,sector-specific,arhitectura de retea,"Subdomeniu al tehnologiei informatice, care se referă la gestionarea conectivității rețelelor prin date, voce, apeluri și servicii de rețea fără fir.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,tehnologia calculatoarelor | electronică și automatizare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrează date existente,released,skill/competence,sector-specific,,"Aplică metode de migrare și de conversie a datelor existente pentru a transfera sau a converti date între formate, sisteme de stocare sau sisteme informatice.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionează, colectează și stochează date digitale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definește structura fizică a bazei de date,released,skill/competence,sector-specific,definește organizarea fizică a bazei de date | concepe organizarea fizică a bazei de date | definește structura bazei de date | stabilește structura fizică a bazei de date | organizează fizic baza de date | definește baza de date,"Prezintă configurația fizică a fișierelor bazei de date pe un suport dat. Aceasta constă în prezentarea de specificații detaliate ale opțiunilor de indexare, ale tipurilor de date și ale elementelor de date introduse în dicționarul de date.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionează, colectează și stochează date digitale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Platforma Maltego este o aplicație criminalistică ce utilizează funcții de extragere a datelor pentru a obține o imagine de ansamblu asupra mediului organizațiilor, de testare a deficiențelor de securitate ale sistemului pentru un posibil acces neautorizat și demonstrează complexitatea deficiențelor infrastructurii.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,analiza și dezvoltarea de aplicații și software | instrument de testare a punctelor slabe ale sistemului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operează echipamentele radio,released,skill/competence,cross-sector,,"Instalează și operează dispozitive radio și accesorii, cum ar fi consolele de radiodifuziune, amplificatoarele și microfoanele. Înțelege elementele de bază ale limbajului operatorului de radio și, dacă este necesar, oferă instrucțiuni privind manipularea corectă a echipamentelor radio.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,coordonează comunicările la distanță | operează echipamente de comunicații
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Tehnicile și principiile dezvoltării de software, cum ar fi analiza, algoritmii, codificarea, testarea și compilarea de paradigme de programare în Erlang.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programare pe calculator | analiza și dezvoltarea de aplicații și software
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,gestionează clasificarea datelor în TIC,released,skill/competence,sector-specific,,Supraveghează sistemul de clasificare pe care îl utilizează o organizație pentru a-și organiza datele. Desemnează un proprietar pentru fiecare concept de date sau grup de concepte și determină valoarea fiecărui element de date.,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionează arhitectura de date în TIC | gestionează, colectează și stochează date digitale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,structura informațiilor,released,knowledge,sector-specific,,"Tipul de infrastructură care definește formatul datelor: semistructurate, nestructurate și structurate.",http://data.europa.eu/esco/isced-f/0612,proiectarea și administrarea de baze de date și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,gestionează rețele TIC temporare pentru spectacolele în direct,released,skill/competence,occupation-specific,priectează operațiunile de tăbăcire | planifică operațiunile de tăbăcire,"Gestionează crearea de rețele de distribuție a semnalelor de control pentru aplicațiile artistice și de evenimente. Asigură coordonarea cu diferiții utilizatori. Definește și configurează echipamente, cabluri, conexiuni și dispozitive. Configurează, testează și monitorizează echipamentele și performanțele rețelei. Semnalele de control includ, de exemplu, DMX, RDM, MIDI, Timecode, date de urmărire și poziționare, dar și semnale audio, video și de poziționare.
	",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,instalează sisteme informatice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,este la curent cu transformarea digitală a proceselor industriale,released,skill/competence,sector-specific,,Este la curent cu inovațiile digitale aplicabile proceselor industriale. Integrează aceste transformări în procesele societății care vizează modele de afaceri competitive și profitabile.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,urmărește progresele în domeniu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,instalează echipamente de birou,released,skill/competence,occupation-specific,,"Conectează echipamente de birou, cum ar fi modemurile, scanerele și imprimantele, la rețeaua de energie electrică și stabilește legături electrice pentru a evita posibile diferențe periculoase. Testează instalația pentru a asigura buna funcționare. Monitorizează setările și pregătește aparatul pentru utilizare.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,efectuează sarcini de secretariat și administrative generale
