conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,asigură formarea personalului în vederea reducerii risipei de alimente,released,skill/competence,sector-specific,asigură securitatea hotelului | se asigură că există măsuri de securitate | garantează măsurile de securitate ale hotelului,"Organizează noi cursuri de formare și oferă oportunități privind dezvoltarea personalului pentru a sprijini perfecționarea personalului în ceea ce privește prevenirea risipei de alimente și practicile de reciclare a alimentelor. Se asigură că personalul înțelege metodele și instrumentele de reciclare a alimentelor, de exemplu, separarea deșeurilor.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,asigură formare în domeniul procedurilor operaționale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,elaborează concepte de economisire a resurselor energetice,released,skill/competence,cross-sector,,"Utilizează rezultatele cercetărilor actuale și colaborează cu experți pentru a optimiza sau a dezvolta concepte, echipamente și procese de producție care necesită o cantitate mai mică de energie, cum ar fi practicile și materialele de izolare noi.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,gândește în mod inovator | elaborează politici și proceduri operaționale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,instalează pompe de căldură,released,skill/competence,cross-sector,,"Instalează pompe de căldură care utilizează proprietățile fizice ale substanțelor numite agenți frigorifici pentru a extrage căldura dintr-un mediu și pentru a elibera căldura într-un mediu mai cald, în contrast cu fluxul spontan de căldură. Creează deschiderile necesare și instalează componentele de interior și de exterior ale pompei de căldură. Conectează energia electrică, racordează orice conducte și configurează pompa de căldură.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"montează echipamente de încălzire, de ventilație și de climatizare"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,proiectează instalații pe bază de biomasă,released,skill/competence,sector-specific,proiecteză instalații de biomasă | proiectează sistemul de biomasă,"Proiectează sistemul de producere a energiei din biomasă. Stabilește limitele de construcție, cum ar fi spațiul și greutatea necesare. Calculează indicatori precum capacitatea, debitul și temperaturile. Realizează descrieri și desene detaliate ale proiectului.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,proiectează sisteme sau echipamente electrice sau electronice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,desfășoară activități de întreținere și reparații ale echipamentului de sortare,released,skill/competence,sector-specific,desfășoară activități de întreținere și reparații ale echipamentului de triere a deșeurilor,Asigură întreținerea curentă și reparațiile minore ale echipamentelor utilizate pentru sortarea deșeurilor și a materialelor reciclabile.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,întreține echipamente | instalează componente din lemn și metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adoptă modalități de promovare a biodiversității și a bunăstării animalelor,released,skill/competence,transversal,ia în considerare aspectele de durabilitate în alegerile de consum | ia în considerare bunăstarea animalelor atunci când cumpără produse alimentare | promovează consumul de alimente organice și biologice | implementează alegeri de mediu în propriul obicei alimentar | adoptă un obicei alimentar durabil | sprijină în mod concret biodiversitatea și bunăstarea animalelor,"Se implică în comportamente care contribuie la menținerea unor ecosisteme stabile și la combaterea extincției în masă, de exemplu prin alegeri dietetice conștiente care susțin producția de alimente ecologice și bunăstarea animalelor
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Aplică aptitudini și competențe legate de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,efectuează un studiu de fezabilitate pentru sistemele de gestionare a clădirilor,released,skill/competence,sector-specific,securitatea și conformitatea în domeniul tehnologiilor de tip cloud,"Efectuează evaluarea și analiza potențialului unui sistem de gestionare a clădirilor. Realizează un studiu standardizat pentru a determina contribuția, costurile și restricțiile în materie de economisire a energiei și efectuează cercetări pentru a sprijini procesul de luare a deciziilor.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,elaborează studiul de fezabilitate | analizează operațiuni comerciale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,reglementări privind expunerea la contaminare,released,knowledge,cross-sector,reglementări privind materialele contaminate | echipamente de decontaminare,"Reglementările privind expunerea la materii contaminate sau la un mediu periculos, care stipulează acțiunile legate de evaluarea riscurilor, reducerea la minimum a expunerii în continuare, carantina și tratamentul persoanelor expuse.",http://data.europa.eu/esco/isced-f/1021,servicii de igienă publică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,înlătură materiale și echipamente contaminate,released,skill/competence,sector-specific,îndepărtează materiale și echipamente contaminate,Înlătură materiale și echipamente care sunt contaminate cu substanțe periculoase pentru a proteja mediul împotriva unei contaminări suplimentare și pentru a trata sau a elimina materialele contaminate.,http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,evaluează nivelul de contaminare | manipulează și elimină materiale periculoase
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,salvează animale,released,skill/competence,sector-specific,,Salvează animalele găsite în situații care reprezintă o amenințare imediată sau potențială la adresa bunăstării lor.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,păstrează și aplică securitatea fizică
