conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,regizor tehnic,"director tehnic
supervizor tehnic
director arte tehnice
șef departament tehnic
director tehnic și operațiuni",,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Regizorii tehnici realizează viziunile artistice ale creatorilor, în limitele unor constrângeri de ordin tehnic. Coordonează operațiunile diferitelor unități de producție, de exemplu, scenografie, costume, sunet și lumini, machiaj. Adaptează prototipul și analizează fezabilitatea, realizarea, executarea și monitorizarea tehnică a proiectului artistic. Răspund și de echipamentul de scenă și de echipamentele tehnice.",2654.1.7,http://data.europa.eu/ux2/nace2.1/9031
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operator mașina de desenat metale,"operator filieră de trefilare
presator, ambutisor la cald
trefilator sârmă
operator trefilare subțire
operatoare filieră de trefilare
operator trefilare
finisor laminate și trefilate
operatoare trefilare",,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operatorii de mașina de desenat metale instalează și acționează mașini de trefilare pentru produse metalice feroase și neferoase, care sunt proiectate pentru a da o formă specifică sârmei, barelor, țevilor, profilurilor tubulare și tuburilor prin reducerea secțiunii transversale a acestora și prin trefilarea materialelor de lucru printr-o serie de matrițe de trefilare.",8121.4,http://data.europa.eu/ux2/nace2.1/242
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspector aparate de precizie/inspectoare aparate de precizie,"controlor calitate instrumente de precizie
supervizor aparate de precizie
inspectoare echipamente de precizie
inspector aparate de precizie
inspectoare instrumente de precizie
controlor calitate aparate de precizie
controlor calitate echipamente de precizie
supervizoare aparate de precizie
inspectoare aparate de precizie
inspector echipamente de precizie
inspector instrumente de precizie",,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Inspectorii de aparate de precizie se asigură că aparatele de precizie, cum ar fi micrometrele și aparatele de măsură, funcționează în conformitate cu specificațiile de proiectare. Pot regla aparatele de precizie și componentele lor în caz de erori.",7543.10.3,http://data.europa.eu/ux2/nace2.1/2651
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,tehnician siguranță trafic aerian,tehnician pentru siguranța traficului aerian,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehnicienii de siguranță a traficului aerian oferă asistență tehnică în ceea ce privește siguranța sistemelor de control al traficului aerian și de navigație. Proiectează, mențin, instalează și exploatează aceste sisteme atât în aeroport, cât și la bordul avionului, în conformitate cu reglementările.",3155.1,http://data.europa.eu/ux2/nace2.1/5223
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,manager de venituri în sectorul ospitalier,"manager de productivitate şi profitabilitate
specialistă în procedura Yield Management în sectorul hotelier
specialist în procedura Yield Management în sectorul hotelier
manager de venituri ospitaliere
manager venituri
manager profituri ospitaliere",,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Managerii de venituri în sectorul ospitalier maximizează veniturile generate de unități precum hoteluri, stațiuni de vacanță și campinguri, analizând tendințele și concurența. Asistă administratorii de unități turistice în luarea de decizii strategice. Managerii de venituri în sectorul ospitalier analizează și optimizează potențialul financiar al unităților și gestionează personalul corespunzător.",2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55"
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,tehnician de laborator medical,laborant medical,,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehnicienii de laboratori medicali lucrează sub supravegherea oamenilor de știință biomedicală și desfășoară proceduri de laborator de bază. Lucrează în manipularea analitică a eșantioanelor, cum ar fi verificarea detaliilor specimenelor primite spre analiză, întreținerea analizoarelor, a reactivilor de încărcare și introducerea specimenelor în eprubete. De asemenea, îndeplinesc sarcini administrative, cum ar fi monitorizarea nivelurilor stocurilor de reactivi utilizați în analiză.",3212.2,http://data.europa.eu/ux2/nace2.1/861
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,tehnician laborator stație asfalt,"laborantă stație asfalt
laborant stație asfalt",,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehnicienii laboratori de stație asfalt efectuează inspecții ale asfaltului și ale materiilor prime conexe, precum și teste de laborator și asigură o înaltă calitate a produselor. De asemenea, participă la rezolvarea aspectelor tehnice referitoare la șantierele de construcții.",3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399"
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asistent profesor învățământ primar,"asistent profesor școală primară
asistent profesor unitate de învățământ primar",,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asistenții de învățători în învățământul primar oferă asistență în instruire și sprijin practic cadrelor didactice din învățământul primar. Consolidează instruirea în cazul elevilor care au nevoie de atenție suplimentară și pregătesc materialele de care au nevoie învățătorii în clasă. Desfășoară, de asemenea, activități administrative, urmăresc progresele elevilor la învățătură și comportamentul lor și supraveghează elevii în prezența și în absența învățătorului.",5312.2,http://data.europa.eu/ux2/nace2.1/852
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizioterapeut,"manager fizioterapie
osteopat
chiropractician
fizioterapeut sportiv
terapeut fizic
maseză
fizioterapeut de recuperare
fizioterapeut neuromusculoscheletal
terapeut euritmie
manager fizoterapeut
terapeut chiropractician
fizioterapeut neurologic
lucrător în promovarea sănătăţii
fizioterapeut pentru manipulare
fizioterapeut in cadrul companiei
terapeut pentru respirație
terapeut pentru sănătate și bunăstare
fizioterapeut neurodezvoltare
fizioterapeut pentru respirație
fizioterapeut bobath
terapeut
hidroterapeut
fizoterapeut cardiovascular
terapeut pentru reabilitare",,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Fizioterapeuții sunt profesioniști independenți în domeniul sănătății, care răspund de dezvoltarea, menținerea sau restabilirea funcției motorii și a capacității de mișcare pe toată durata vieții, utilizând practici bazate pe evidențe. Calmează durerile și tratează sau previn afecțiuni fizice asociate cu leziuni, boli sau alte deficiențe. Fizioterapeuții le permit pacienților și îngrijitorilor lor să trateze afecțiunea în afara mediului spitalicesc. Lucrează în sfera lor de practică conform Codului deontologic. ",2264.2,http://data.europa.eu/ux2/nace2.1/8695
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,cadru didactic in invatamantul superior in domeniul stiintelor economice,"profesor de actorie
conferențiar universitar  în domeniul artei teatrale
preparator învățământul universitar în domeniul artei teatrale
profesor universitar în domeniul artei teatrale
asistent universitar în domeniul artei teatrale
lector universitar în domeniul artei teatrale
instructor în domeniul artei teatrale
instructor școlar actorie
lector arta teatrală la conservator
instructor de teatru la conservator
instructor de arta teatrală
instructor de teatru la școala de artă teatrală
profesor de arta teatrală",,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Cadrele didactice în învățământul superior în arta teatrală predau studenților teorie specifică și, în primul rând, cursuri de teatru bazate pe practică, la un teatru specializat sau la o școală de artă teatrală sau la conservator, la nivel de învățământ superior. Oferă instruire teoretică în sprijinul abilităților și tehnicilor de ordin practic pe care studenții trebuie să le stăpânească ulterior în teatru. Cadrele didactice în învățământul superior în arta teatrală monitorizează progresele studenților, acordă asistență în mod individual atunci când este necesar și evaluează cunoștințele și interpretarea practicii teatrale prin teme, teste și examene.",2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853"
