conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,inginer biomedical,released,expert inginerie biomedicală | consilier în inginerie biomedicală | specialist în inginerie biomedicală | expert în inginerie biomedicală | consilier tehnologie inginerie biomedicală | consultant tehnologie inginerie biomedicală | specialist BME | consultant inginerie biomedicală | specialist inginerie biomedicală | Inginer în biomedicină | specialist tehnologie inginerie biomedicală | consilier inginer biomedical | consilier inginerie biomedicală | expert inginer biomedical | expert tehnologie inginerie biomedicală,"Inginerii biomedicali combină cunoașterea principiilor de inginerie și descoperirile în domeniul biologiei pentru dezvoltarea de tratamente medicale, de medicamente, precum și pentru asistență medicală generală. Pot dezvolta soluții care variază de la îmbunătățirea ingredientelor din medicamente convenționale până la dezvoltarea implanturilor și tratarea țesuturilor.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioinginer/bioingineră
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminolog,released,criminologi | savant în studii de criminologie | savant în criminologie | cercetator în criminologie | cercetător în studii de criminologie | cercetător în criminologie | expert în criminologie | asistent de cercetare în criminologie | cercetător în știința criminologiei | cercetator în studii de criminologie | specialist în criminologie,"Criminologii studiază afecțiuni care se referă la oameni, cum ar fi aspectele sociale și psihologice care i-ar putea determina să comită acte criminale. Observă și analizează diferiți factori, de la condițiile de comportament până la mediul social și mediul suspecților, cu scopul de a consilia organizațiile cu privire la prevenirea criminalității.",http://data.europa.eu/esco/isco/C2632,"Sociologi, antropologi și asimilați"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,cadru didactic în învățământul superior în l științe economice,released,profesor de științe economice în învãțãmântul superior | conferențiar universitar  în domeniul științelor economice | instructor în științe economice | lector in științe economice | profesor de științe economice | lector universitar  în domeniul științelor economice | preparator învățământul universitar  în domeniul economice | profesor universitar  în domeniul științelor economice | lector în științe economice | asistent universitar  în domeniul științelor economice | profesor universitar de științe economice,"Cadrele didactice în învățământul superior în științe economice sunt profesori universitari, asistenți universitari, conferențiari, lectori, asistenți universitari, mentori care predau studenților în propriul domeniu specializat de studiu, științe economice. Elaborează programa de învățământ, pregătesc cursuri (cursuri, cursuri practice, seminarii, cursuri de formare etc.), monitorizează rezultatele învățării, supraveghează parcursul educațional al studenților. Efectuează cercetare academică în domeniul lor din științele economice și își prezintă constatările la conferințe și în publicații. Ocupă unele funcții de conducere ale universităților.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,cadru didactic în învățământul superior în medicină,released,doctor în medicină | lector în educație medicală | instructor in medicinã | conferențiar universitar  în domeniul medicinei | lector de medicinã universitară | profesor universitar în medicinã | instructor medical | lector în medicinã | lector universitar  în domeniul medicinei | lector în medicinã clinica | asistent universitar  în domeniul medicinei | preparator învățământul universitar  în domeniul medicinei | lector in domeniul clinic | profesor în medicină | lector în  medicină | profesor universitar  în domeniul medicinei | profesor în medicinã | lector in domeniul medicinei,"Cadrele didactice în învățământul superior în  medicină sunt profesori universitari, conferențiari sau lectori și deseori medici care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, medicină, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a nota lucrări și examene, a conduce practici de laborator și sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din medicină, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,inginer aparate medicale/ingineră aparate medicale,released,inginer biomedical | inginer echipamente biomedicale | inginer echipamente medicale | inginer audiologie | dezvoltator sisteme biomedicale | inginer clinic | inginer aparate ortopedice | inginer tehnic echipamente tehnico-medicale | inginer în echipamente tehnico-medicale | dezvoltator echipamente medicale | inginer în tehnologii medicale | inginer în sisteme biomedicale | bioinginer medical | inginer în instrumente medicale | inginer aparate medicale | inginer testare aparate tehnico-medicale | ingineră aparate medicale,"Inginerii aparate medicale proiectează și dezvoltă sisteme, instalații și echipamente de tehnică medicală: de exemplu, stimulatoare cardiace, scanere IRM și aparate cu raze X. Monitorizează întregul proces de fabricație, de la proiectarea conceptului până la implementarea produsului. Printre activitățile întreprinse se numără proiectarea îmbunătățirii produselor, dezvoltarea de metode și tehnici de evaluare a caracterului adecvat al proiectării, coordonarea producției inițiale, elaborarea de proceduri de testare și conceperea unor diagrame de producție.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inginer electronist
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,istoric,released,istoric militar | egiptoloagă | asistentă de cercetare în istorie | cercetătoare în istorie | istoric economic | asistent de cercetare în istorie | egiptolog/ egiptoloagă | cercetător în istorie | istoric politic | egiptolog | istorici | istoric diplomat | istoric de artă,"Istoricii cercetează, analizează, interpretează și prezintă trecutul societăților umane. Analizează documente, surse și urme din trecut pentru a înțelege societățile din trecut.",http://data.europa.eu/esco/isco/C2633,"Filozofi, istorici și specialiști în științe politice"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chimist/chimistă,released,inginer chimist | inginer petrochimist | consultant tehnologie in inginerie chimică | analist farmacologie | analist toxicologie | inginer procese de rafinărie | consilier tehnologie in inginerie chimică | analist cercetător în farmacologie | analist cercetător în toxicologie | chimist | cercetător în farmacologie | consultant inginerie chimică | inginer chimist în purificarea apei | inginer tehnologie chimică | expert tehnologie in inginerie chimică | inginer chimist sticlă | ingineră chimistă | inginer chimist chimie organică | inginer chimist ceramică | farmacologi | inginer chimist pirotehnic | consilier inginerie chimică | specialist tehnologie in inginerie chimică | chimistă | expert inginerie chimică | cercetător în toxicologie | inginer chimist chimie anorganică,"Chimiștii desfășoară activități de cercetare în laborator testând și analizând structura chimică a substanțelor. Transpun rezultatele cercetării în procese de producție industriale care sunt utilizate ulterior la dezvoltarea sau îmbunătățirea de produse. Chimiștii testează, de asemenea, calitatea produselor fabricate și impactul lor asupra mediului.",http://data.europa.eu/esco/isco/C2113,Chimiști
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmacolog/farmacologă,released,farmacolog | farmacologă | expert farmacolog,"Farmacologii studiază interacțiunea dintre medicamente și organisme, sisteme vii și părți ale acestora (și anume celule, țesuturi sau organe). Cercetarea lor vizează identificarea substanțelor care pot fi ingerate de oameni și care exercită funcții biochimice adecvate pentru vindecarea bolilor.",http://data.europa.eu/esco/isco/C2131,"Biologi, botaniști, zoologi și asimilați"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,cadru didactic în învățământul superior în sociologie,released,lector în sociologie | asistent universitar  în domeniul științelor sociale | lector de științe sociale | lector specialist în sociologie | conferențiar universitar  în domeniul științelor sociale | lector universitar  în domeniul sociologiei | profesor universitar  în domeniul științelor sociale | preparator învățământul universitar  în domeniul sociologiei | cadru didactic în învățământul superior în domeniul sociologiei | asistent universitar  în domeniul sociologiei | profesor de sociologie | instructor in sociologie | profesor de sociologie în învățământul superior | profesor in științe sociale | doctor în științe sociale | instructor de științe sociale | profesor universitar de sociologie | conferențiar universitar  în domeniul sociologiei | preparator învățământul universitar  în domeniul științelor sociale | lector în științe sociale | lector in sociologie | profesor universitar  în domeniul sociologiei | instructor în sociologie | lector universitar  în domeniul științelor sociale,"Cadrele didactice în învățământul superior în sociologie sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, științe sociale, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din științele sociale, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinetoterapeut,released,fiziokinetoterapeut | specialist în kinetoterapie | kinetoterapeut pentru biomecanică | cercetător în fiziokinetoterapie | kinetoterapeut fiziomotor | cercetător în kinetoterapie,"Kinetoterapeuții studiază și cercetează mișcarea corpului, mușchii și părțile corpului. Analizează și utilizează date și metode științifice pentru a îmbunătăți mișcarea corpului, în general la oameni, prin înțelegerea unor domenii precum fiziologia, cinetica, neurologia și biologia. Recunosc efectele pe care unii factori, cum ar fi condiția fizică, le au asupra mișcării și dezvoltă soluții pentru a îmbunătăți mecanica și mobilitatea în ansamblu.",http://data.europa.eu/esco/isco/C2269,"Specialiști în domeniul sănătății, neclasificați în grupele de bază anterioare"
