conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,"redactează lucrări științifice, academice și documentație tehnică",released,skill/competence,cross-sector,,"Redactează și editează texte științifice, academice sau tehnice pe diferite teme.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,scriu lucrări tehnice sau academice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,gestionează date în domeniul cercetării,released,skill/competence,cross-sector,,"Produce și analizează date științifice provenite din metodele de cercetare calitativă și cantitativă. Stochează și păstrează datele în baze de date de cercetare. Sprijină reutilizarea datelor științifice și este familiarizat(ă) cu principiile de gestionare a datelor deschise.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,gestionează informații
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,Interacționează profesional în mediile de cercetare și profesionale,released,skill/competence,cross-sector,,"Dă dovadă de considerație față de ceilalți, precum și de colegialitate. Ascultă, oferă feedback și răspunde în mod perceptiv altora, ceea ce implică, de asemenea, supravegherea și conducerea personalului într-un cadru profesional.
	",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,lucrează cu alții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,diseminează rezultatele în rândul comunității științifice,released,skill/competence,cross-sector,să divulge rezultatele științifice,"Face publice rezultatele științifice prin orice mijloace adecvate, inclusiv conferințe, ateliere, colocvii și publicații științifice.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,scriu lucrări tehnice sau academice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,dezvoltă software cu sursă deschisă,released,skill/competence,sector-specific,,"Exploatează și creează software cu sursă deschisă. Este familiarizat(ă) cu principalele modele de software cu sursă deschisă, cu sistemele de acordare a licențelor și cu practicile de codificare adoptate în mod obișnuit în producția de software cu sursă deschisă.
	",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programează sisteme informatice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,vorbește mai multe limbi străine,released,skill/competence,cross-sector,,Stăpânește limbi străine pentru a putea comunica într- una sau mai multe limbi străine.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,folosesc limbi străine
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,evaluează activități de cercetare,released,skill/competence,cross-sector,evalueaza metodologia cercetării | evalueaza rezultatele cercetării | efectueaza o evaluare academica,"Evaluează progresele, impactul și rezultatele colegilor cercetători.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,oferă feedback
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,dă dovadă de expertiză disciplinară,released,skill/competence,cross-sector,oferă asistență pentru programul de sănătate al angajaților | sprijină personalul medical | sprijină implementarea programelor de sănătate | susține programele de sănătate ale angajaților | sprijină programele de sănătate,"Dă dovadă de cunoașterea aprofundată și înțelegerea complexă a unui anumit domeniu de cercetare, inclusiv a cercetării responsabile, a principiilor etice și de integritate științifică în materie de cercetare, respectul vieții private și a cerințelor RGPD, legate de activitățile de cercetare dintr-o anumită disciplină.
	",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"efectuează studii, anchete și analize"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,gândește analitic,released,skill/competence,transversal,aplică gândirea logică | gândește rațional | gandeste rational | utilizează raționamentul logic | gandeste logic | aplică analiza structurală | dezvoltă o abordare analitică | gândește logic | aplică gândirea structurată,"Gândește folosind logica și raționamentul pentru a identifica punctele tari și punctele slabe ale soluțiilor alternative, concluziilor sau abordărilor problemelor.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Prelucrează informațiile, ideile și conceptele"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,predă în contexte academice sau profesionale,released,skill/competence,cross-sector,,"Formează studenții în ceea ce privește teoria și practica disciplinelor academice sau profesionale, transferând conținutul activităților de cercetare proprii și ale altor persoane.
	",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,predau materii din programa universitară sau profesională
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,gestionează cunoștințele în vederea unui impact strategic,released,skill/competence,cross-sector,,"Sporește impactul și utilizarea rezultatelor cercetării în cadrul politicilor, asigurându-se că cele mai utile fapte sunt comunicate și înțelese în timp util pentru ca factorii de decizie să le ia în considerare pe parcursul întregului ciclu de elaborare a politicilor.
	",http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9 | http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,prezintă informații generale | influențează factorii de decizie cu privire la probleme de servicii sociale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,gestionează date interoperabile și reutilizabile accesibile și ușor de găsit,released,skill/competence,cross-sector,evaluează operațiunile din industria pielăriei | monitorizare operațională | monitorizează operațiunile | monitorizarea calității și a producției în industria pielăriei | monitorizarea calității și a producției | monitorizarea operațională a industriei de piele,"Produce, descrie, stochează, conservă și (re)utilizează date științifice bazate pe principiile FAIR (facil de găsit, accesibile, interoperabile și reutilizabile), asigurându-se că datele sunt cât mai deschise posibil și cât de închise cât este necesar.
	",http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,administrează datele | efectuează cercetare academică sau de piață
