Ocupație,Scor Real,Scor Prezis,Eroare,Risc Real,Risc Prezis
tehnician în domeniul fabricării baterii,50.0,54.48,4.479999999999997,medium,medium
manager de campanie electorală,45.0,54.04,9.04,medium,medium
cadru didactic în învățământul superior ,60.0,58.71,1.2899999999999991,medium,medium
lucrător serviciu pentru situații de urg,45.0,53.35,8.350000000000001,medium,medium
manager birou de traduceri,35.0,52.13,17.130000000000003,low,medium
cadru didactic în învățământul superior ,65.0,57.96,7.039999999999999,high,medium
manager casă de licitații,55.0,49.64,5.359999999999999,medium,medium
asistent administrativ/asistentă adminis,55.0,54.55,0.45000000000000284,medium,medium
agent intervenție pază și ordine,75.0,49.05,25.950000000000003,high,medium
somelier șef,55.0,49.34,5.659999999999997,medium,medium
