job,automatic_all_skills,total_skill
operator mașină cu comandă numerică/operatoare mașină cu comandă numerică,100.0,158
manager planificare strategică,100.0,54
operator extruder/operatoare extruder,95.0,48
operator la fabricarea produselor alimentare/operatoare la fabricarea produselor alimentare,95.0,77
operator presă de refulat/operatoare presă de refulat,90.0,45
operator mașina de desenat metale,90.0,39
operator mașină de filetat/operatoare mașină de filetat,90.0,43
asistent manager,90.0,41
operator mașina acoperire metale,85.0,51
operator mașină de rectificat rotund/operatoare mașină de rectificat rotund,85.0,52
