job,automatic_all_skills,total_skill
specialist testare software,60.0,80
ofițer șef informații,60.0,89
arhitect de sistem în domeniul TIC/arhitectă de sistem în domeniul TIC,60.0,92
inginer sisteme de producție industriale,60.0,77
manager import export,60.0,80
specialist testare jocuri digitale,60.0,38
analist testare în domeniul TIC,60.0,36
operator la mașini și utilaje din industria încălțămintei/operator la mașini și utilaje din industria încălțămintei,60.0,37
specialist în testarea sistemelor integrate,60.0,37
cadru didactic în învățământul superior în medicină,60.0,133
