conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,dă dovadă de inițiativă,released,dă dovadă de simț al inițiativei | dă impuls | dă dovadă de inițiativă activă | demonstrează faptul că are simț de inițiativă | inițiază acțiuni | ia inițiativă | este o forță de conducere,"Este proactiv și face primul pas într-o acțiune fără a aștepta să afle ce spun sau fac ceilalți.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Adoptă o abordare proactivă
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,adoptă modalități de promovare a biodiversității și a bunăstării animalelor,released,ia în considerare aspectele de durabilitate în alegerile de consum | ia în considerare bunăstarea animalelor atunci când cumpără produse alimentare | promovează consumul de alimente organice și biologice | implementează alegeri de mediu în propriul obicei alimentar | adoptă un obicei alimentar durabil | sprijină în mod concret biodiversitatea și bunăstarea animalelor,"Se implică în comportamente care contribuie la menținerea unor ecosisteme stabile și la combaterea extincției în masă, de exemplu prin alegeri dietetice conștiente care susțin producția de alimente ecologice și bunăstarea animalelor
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Aplică aptitudini și competențe legate de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,oferă consiliere altora,released,oferă feedback constructiv | face recomandări altora | mentor indivizi | dă sfaturi altora | mentor pentru alte persoane | sfătuiește colegii | consiliază colegii de muncă,"Oferă sugestii cu privire la cea mai bună cale de urmat.
	",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,Sprijină sau susține pe alții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,acceptă critici și orientări,released,feedback-ul binevenit | acceptă feedback-ul | acceptă critica constructivă | acceptă critici | critica binevenită | tolerează criticile | gestionează feedback-ul,"Tratează feedbackul negativ din partea celorlalți și reacționează în mod deschis la critici, încercând să identifice domeniile în care se pot aduce îmbunătățiri.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Demonstrează disponibilitatea de a învăța
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"aplică cunoștințe de filozofie, etică și religie",released,"evaluează consecințele și impactul ideilor, oportunităților și acțiunilor | evaluează consecințele morale și etice ale acțiunilor. | aplică o școală filosofică de gândire | acționează în conformitate cu valorile etice și religioase | urmărește valorile etice și credințele religioase","Descoperă și dezvoltă o perspectivă individuală cu privire la rolurile, semnificația și scopul cuiva, inclusiv cu privire la ceea ce înseamnă a trăi, a muri și a fi om.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,Aplică cunoștințele generale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,adoptă modalități de reducere a poluării,released,preferă transportul public în locul celui privat | previne poluarea | folosește transportul public | gestionează propriile deșeuri | reduce zgomotul,"Aplică măsuri de reducere a poluării aerului, a zgomotului, a luminii, a apei sau a mediului, de exemplu prin utilizarea transportului public, prin evitarea generării de deșeuri în mediul natural și prin reducerea emisiilor inutile de lumină și zgomot, în special în timpul nopții.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Aplică aptitudini și competențe legate de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,respectă angajamente,released,respectă promisiunile | dă dovadă de eforturi susținute | dă dovadă de loialitate,"Îndeplinește sarcini în mod autodisciplinat, fiabil și cu orientare spre obiective.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Desfășoară activități în mod eficient
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,se adaptează la cerințe fizice,released,lucrează în condiții meteorologice nefavorabile | demonstrează rezistență fizică | tolerează temperaturi nefavorabile,"Demonstrează capacitate de a rezista la un nivel ridicat de stres fizic la locul de muncă sau în cadrul activităților sportive. Acestea includ: îngenunchierea, statul în picioare sau alergarea pentru o perioadă lungă de timp sau lucrul în condiții meteorologice dificile, cum ar fi căldura puternică, frigul și ploaia.
	",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,Răspunde la circumstanțe fizice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,își asumă responsabilitatea,released,dovedește simțul responsabilității | demonstrează o atitudine conștiincioasă | este pregătit să își asume responsabilitatea | este pregătit să își asume responsabilități | arată responsabilitate | arată un comportament responsabil,"Acceptă responsabilitatea și răspunderea pentru propriile decizii și acțiuni profesionale sau pentru cele delegate altora.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Adoptă o abordare proactivă
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,dă dovadă de hotărâre,released,demonstrează entuziasm | persistă | se străduiește pentru rezultate | demonstrează dispoziție pozitivă | depune eforturi pentru succes | demonstrează o abordare concentrată | demonstrează atitudine pozitivă | da dovadă de entuziasm | arată o dispoziție pozitivă | depune efort | are obiective clare | demonstrează gândire pozitivă,"Demonstrează angajamentul de a întreprinde acțiuni dificile și care necesită eforturi susținute. Face dovada unor eforturi considerabile, determinate de un interes sau de plăcerea de a munci în sine, în absența presiunilor externe.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Adoptă o abordare proactivă
