cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
821216,confecționer circuite imprimate,confectioner circuite imprimate,confectioner placi circuite imprimate,95.0,48,16,32,18,30,76.14556319283949,high
817212,formator finisor plăci,formator finisor placi,confectioner placi circuite imprimate,85.5,48,16,32,18,30,76.14556319283949,high
721208,sudor,sudor,sudor aparate de sudura in puncte,90.0,53,19,34,19,34,71.93053527163322,high
812215,emailator prin imersiune,emailator prin imersiune,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
812212,emailator prin pudrare,emailator prin pudrare,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
812213,emailator prin pulverizare,emailator prin pulverizare,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
721406,formator țevi prin sudare,formator tevi prin sudare,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
812202,metalizator prin pulverizare,metalizator prin pulverizare,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
722205,prelucrător prin electroeroziune,prelucrator prin electroeroziune,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
133023,șef formație comunicații,sef formatie comunicatii,inginer comunicatii prin satelit/inginera comunicatii prin satelit,85.5,49,20,29,24,25,70.64010171921647,high
721201,brazor,brazor,brazor/brazoare,90.0,47,18,29,18,29,68.44058877219571,high
265428,coordonator producție film,coordonator productie film,animator film de animatie/animatoare film de animatie,85.5,48,17,31,19,29,68.06005821974678,high
265415,secretar șef producție film,secretar sef productie film,animator film de animatie/animatoare film de animatie,85.5,48,17,31,19,29,68.06005821974678,high
143112,șef atelier producție film,sef atelier productie film,animator film de animatie/animatoare film de animatie,85.5,48,17,31,19,29,68.06005821974678,high
143111,șef secție producție film,sef sectie productie film,animator film de animatie/animatoare film de animatie,85.5,48,17,31,19,29,68.06005821974678,high
721308,cazangiu formator,cazangiu formator,cazangiu,90.0,61,22,39,24,37,66.98100198875301,high
721301,cazangiu recipiente,cazangiu recipiente,cazangiu,90.0,61,22,39,24,37,66.98100198875301,high
721307,cazangiu țevar,cazangiu tevar,cazangiu,90.0,61,22,39,24,37,66.98100198875301,high
214538,specialist tehnologia alimentelor,specialist tehnologia alimentelor,cadru didactic in invatamantul superior in stiinta alimentelor,85.5,87,33,54,18,69,66.72061996675221,high
621006,presator stuf,presator stuf,operator strung,71.42857142857143,61,28,33,30,31,66.68633522679781,high
311933,tehnolog alimentație publică,tehnolog alimentatie publica,tehnolog alimentar,87.42857142857143,139,73,66,46,93,66.49519799087204,high
214444,inginer/ subinginer tehnolog prelucrări mecanice,inginer/ subinginer tehnolog prelucrari mecanice,tehnolog alimentar,85.5,139,73,66,46,93,66.49519799087204,high
214412,inginer autovehicule rutiere,inginer autovehicule rutiere,designer autovehicule rutiere,91.22807017543859,48,20,28,23,25,66.36631515694407,high
216607,designer florist,designer florist,designer autovehicule rutiere,85.5,48,20,28,23,25,66.36631515694407,high
214118,subinginer industrializarea lemnului,subinginer industrializarea lemnului,inginer tehnologia lemnului/inginera tehnologia lemnului,85.5,52,28,24,24,28,66.36122450796465,high
241107,auditor financiar,auditor financiar,auditor financiar,100.0,60,22,38,24,36,66.15224596419856,high
311804,topograf,topograf,analist topograf,90.0,53,27,26,18,35,65.61608411694952,high
722202,sculer-matrițer,sculer-matriter,sculer-matriter,100.0,54,22,32,17,37,65.47549976640488,high
722407,șlefuitor metale,slefuitor metale,slefuitor metale/slefuitoare metale,90.0,44,14,30,18,26,64.83347048827878,medium
311510,maistru mecanică agricolă,maistru mecanica agricola,inginer mecanica agricola/inginera mecanica agricola,85.5,44,14,30,18,26,64.83347048827878,medium
131123,președinte cooperativă agricolă,presedinte cooperativa agricola,inginer mecanica agricola/inginera mecanica agricola,85.5,44,14,30,18,26,64.83347048827878,medium
213239,cercetător în agricultură,cercetator in agricultura,lucrator in agricultura,87.5,47,16,31,21,26,64.63995499583683,medium
611101,agricultor,agricultor,lucrator in agricultura,81.0,47,16,31,21,26,64.63995499583683,medium
322102,soră medicală,sora medicala,sora medicala,100.0,60,36,24,24,36,64.62325838495943,medium
134213,soră medicală șefă,sora medicala sefa,sora medicala,95.0,60,36,24,24,36,64.62325838495943,medium
