cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score,total_skill,essential,optional,knowledge,skill_com,predicted_score,risk_level
821216,confecționer circuite imprimate,confectioner circuite imprimate,confectioner placi circuite imprimate,91.17647058823529,48,16,32,18,30,76.14556319283949,high
814302,operator la mașina de laminat,operator la masina de laminat,operator la masina de alezat,87.71929824561403,47,16,31,23,24,74.7309368560548,high
818302,operator la mașina de etichetat,operator la masina de etichetat,operator la masina de alezat,84.7457627118644,47,16,31,23,24,74.7309368560548,high
815207,operator la mașini de urzit,operator la masini de urzit,operator la masina de alezat,83.63636363636363,47,16,31,23,24,74.7309368560548,high
214412,inginer autovehicule rutiere,inginer autovehicule rutiere,designer autovehicule rutiere,91.22807017543859,48,20,28,23,25,66.36631515694407,high
241107,auditor financiar,auditor financiar,auditor financiar,100.0,60,22,38,24,36,66.15224596419856,high
722202,sculer-matrițer,sculer-matriter,sculer-matriter,100.0,54,22,32,17,37,65.47549976640488,high
215207,instructor linii,instructor linii,instructor in tic,84.84848484848484,45,13,32,25,20,65.16333745857884,high
213239,cercetător în agricultură,cercetator in agricultura,lucrator in agricultura,87.5,47,16,31,21,26,64.63995499583683,medium
322102,soră medicală,sora medicala,sora medicala,100.0,60,36,24,24,36,64.62325838495943,medium
134213,soră medicală șefă,sora medicala sefa,sora medicala,83.87096774193549,60,36,24,24,36,64.62325838495943,medium
311120,tehnician în fizică,tehnician in fizica,tehnician in robotica,80.0,63,29,34,25,38,64.26477076129297,medium
242315,consilier vocațional,consilier vocational,consilier educational,87.8048780487805,49,20,29,18,31,64.10282994084903,medium
235101,cercetător în pedagogie,cercetator in pedagogie,cercetator in pedologie,91.30434782608695,54,14,40,29,25,63.00093720570669,medium
263415,cercetător în psihologie,cercetator in psihologie,cercetator in pedologie,89.36170212765957,54,14,40,29,25,63.00093720570669,medium
213244,cercetător în pedologie-agrochimie,cercetator in pedologie-agrochimie,cercetator in pedologie,80.7017543859649,54,14,40,29,25,63.00093720570669,medium
311540,tehnician mecatronist,tehnician mecatronist,tehnician mecatronist,100.0,63,28,35,24,39,62.37099621605784,medium
214603,subinginer metalurgist,subinginer metalurgist,inginer metalurg,84.21052631578947,50,17,33,16,34,62.0314237930061,medium
214607,expert inginer metalurg,expert inginer metalurg,inginer metalurg,82.05128205128204,50,17,33,16,34,62.0314237930061,medium
516502,instructor auto,instructor auto,instructor auto,100.0,62,22,40,24,38,62.00864028720023,medium
341601,instructor școlar auto,instructor scolar auto,instructor auto,81.08108108108108,62,22,40,24,38,62.00864028720023,medium
516501,instructor școlar auto,instructor scolar auto,instructor auto,81.08108108108108,62,22,40,24,38,62.00864028720023,medium
351109,operator testare jocuri digitale,operator testare jocuri digitale,specialist testare jocuri digitale,84.84848484848484,38,9,29,21,17,60.52404396556637,medium
821221,confecționer becuri,confectioner becuri,confectioner arcuri,89.47368421052632,41,16,25,12,29,60.45041314996355,medium
731723,confecționer mături,confectioner maturi,confectioner arcuri,89.47368421052632,41,16,25,12,29,60.45041314996355,medium
731821,confecționer prețuri,confectioner preturi,confectioner arcuri,87.17948717948718,41,16,25,12,29,60.45041314996355,medium
818106,confecționer termosuri,confectioner termosuri,confectioner arcuri,82.92682926829268,41,16,25,12,29,60.45041314996355,medium
731702,confecționer jucării,confectioner jucarii,confectioner arcuri,82.05128205128204,41,16,25,12,29,60.45041314996355,medium
753103,confecționer pălării,confectioner palarii,confectioner arcuri,82.05128205128204,41,16,25,12,29,60.45041314996355,medium
752305,confecționer parchete,confectioner parchete,confectioner arcuri,80.0,41,16,25,12,29,60.45041314996355,medium
231001,asistent universitar,asistent universitar,asistent universitar,100.0,84,32,52,14,70,60.42506307440793,medium
334303,asistent manager,asistent manager,asistent manager,100.0,41,18,23,11,30,60.22986393022951,medium
132457,manager logistică și distribuție,manager logistica si distributie,manager logistica si distributie,100.0,46,34,12,8,38,59.88859573738058,medium
