cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
817207,aburitor plută,aburitor pluta,auditor calitate call center,64.28571428571429
731202,"acordor piane, pianine, orgă, țambal","acordor piane, pianine, orga, tambal",machior,65.45454545454547
812121,aglomeratorist,aglomeratorist,mediator,67.5
243221,arbitru,arbitru,maistru aplicare gresie-faianta,65.76923076923076
263601,arhiepiscop,arhiepiscop,arhivar,65.45454545454547
263603,arhondar,arhondar,dogar,67.5
321201,autopsier,autopsier,manager activitate transport rutier,64.28571428571429
265301,balerin,balerin,controlor trafic aerian,69.23076923076923
731103,"blocator, chituitor, deblocator","blocator, chituitor, deblocator",senator,65.45454545454547
741202,bobinator aparataj electric,bobinator aparataj electric,acar,67.5
741209,bobinator transformatoare,bobinator transformatoare,formator/formatoare,68.18181818181819
811201,brichetator cărbune,brichetator carbune,acar,67.5
314310,brigadier silvic,brigadier silvic,inspector silvic,62.5
722414,broșator,brosator,cercetator in conservarea mediului inconjurator,69.23076923076923
343201,butafor,butafor,brutar/brutareasa,69.23076923076923
515101,cabanier,cabanier,operator scaner/operatoare scaner,69.23076923076923
731809,cablator frânghii,cablator franghii,salahor,64.28571428571429
331101,cambist (broker valori),cambist (broker valori),barista,61.07142857142858
516201,cameristă hotel,camerista hotel,barista,64.28571428571429
833205,camionagiu,camionagiu,sofer autocamion,67.5
341309,catehet,catehet,manager magazin delicatese,69.23076923076923
912101,călcătoreasă lenjerie,calcatoreasa lenjerie,calcator haine/calcatoreasa haine,69.23076923076923
111103,chestor Parlament,chestor parlament,director departament universitate,68.82352941176471
263607,chevrasameș,chevrasames,docher,65.45454545454547
731304,cizelator clișee galvanice,cizelator clisee galvanice,pivnicer,64.28571428571429
265902,clovn,clovn,concierge hotel,67.5
811212,concasorist,concasorist,barista,65.45454545454547
214110,conceptor/ conceptor CAO,conceptor/ conceptor cao,conservator,63.0
816034,condiționer miere,conditioner miere,consilier imigrare,68.57142857142857
812114,condiționer-finisor,conditioner-finisor,istoric,65.45454545454547
343520,corector (studii medii),corector (studii medii),cosar,67.5
264202,corector (studii superioare),corector (studii superioare),cosar,67.5
441303,corector-revizor poligrafie,corector-revizor poligrafie,cosar,67.5
265224,corist operă,corist opera,cosar,67.5
912102,curățătoreasă lenjerie,curatatoreasa lenjerie,vanator,64.28571428571429
812109,curățitor lingouri,curatitor lingouri,lucrator ingrijirea animalelor,67.5
121109,dealer-șef (arbitragist bancă),dealer-sef (arbitragist banca),acar,67.5
